Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,0.1u,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,230.0,-105.1,0.0,bottom
C2,0.1u,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,212.0,-102.0,0.0,bottom
C3,0.1u,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,218.5,-102.0,180.0,bottom
C4,0.1u,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,125.6594,-92.5365,90.0,bottom
C5,4.7u,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,134.2548,-86.5837,180.0,bottom
C6,22p,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,131.3914,-111.4001,90.0,bottom
C7,22p,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,144.3914,-111.4001,90.0,bottom
D0,1N4148W,D_SOD-123,73.1512,-126.5887,90.0,bottom
D1,1N4148W,D_SOD-123,92.2012,-126.5887,90.0,bottom
D2,1N4148W,D_SOD-123,111.2512,-126.5887,90.0,bottom
D3,1N4148W,D_SOD-123,130.3012,-126.5887,90.0,bottom
D4,1N4148W,D_SOD-123,149.3512,-126.5887,90.0,bottom
D5,1N4148W,D_SOD-123,168.4012,-126.5887,90.0,bottom
D6,1N4148W,D_SOD-123,187.4512,-126.5887,90.0,bottom
D7,1N4148W,D_SOD-123,206.5012,-126.5887,90.0,bottom
D8,1N4148W,D_SOD-123,225.5512,-126.5887,90.0,bottom
D9,1N4148W,D_SOD-123,244.6012,-126.5887,90.0,bottom
D10,1N4148W,D_SOD-123,263.6512,-126.5887,90.0,bottom
D11,1N4148W,D_SOD-123,282.7012,-126.5887,90.0,bottom
D12,1N4148W,D_SOD-123,301.7512,-126.5887,90.0,bottom
D13,1N4148W,D_SOD-123,327.9449,-126.5887,90.0,bottom
D14,1N4148W,D_SOD-123,354.1387,-126.5887,90.0,bottom
D15,1N4148W,D_SOD-123,75.5324,-145.6387,90.0,bottom
D16,1N4148W,D_SOD-123,96.9637,-145.6387,90.0,bottom
D17,1N4148W,D_SOD-123,116.0137,-145.6387,90.0,bottom
D18,1N4148W,D_SOD-123,135.0637,-145.6387,90.0,bottom
D19,1N4148W,D_SOD-123,154.1137,-145.6387,90.0,bottom
D20,1N4148W,D_SOD-123,173.1637,-145.6387,90.0,bottom
D21,1N4148W,D_SOD-123,192.2137,-145.6387,90.0,bottom
D22,1N4148W,D_SOD-123,211.2637,-145.6387,90.0,bottom
D23,1N4148W,D_SOD-123,230.3137,-145.6387,90.0,bottom
D24,1N4148W,D_SOD-123,249.3637,-145.6387,90.0,bottom
D25,1N4148W,D_SOD-123,268.4137,-145.6387,90.0,bottom
D26,1N4148W,D_SOD-123,287.4637,-145.6387,90.0,bottom
D27,1N4148W,D_SOD-123,306.5137,-145.6387,90.0,bottom
D28,1N4148W,D_SOD-123,332.7074,-155.1637,90.0,bottom
D29,1N4148W,D_SOD-123,354.1387,-145.6387,90.0,bottom
D30,1N4148W,D_SOD-123,77.9137,-164.6887,90.0,bottom
D31,1N4148W,D_SOD-123,101.7262,-164.6887,90.0,bottom
D32,1N4148W,D_SOD-123,120.7762,-164.6887,90.0,bottom
D33,1N4148W,D_SOD-123,139.8262,-164.6887,90.0,bottom
D34,1N4148W,D_SOD-123,158.8762,-164.6887,90.0,bottom
D35,1N4148W,D_SOD-123,177.9262,-164.6887,90.0,bottom
D36,1N4148W,D_SOD-123,196.9762,-164.6887,90.0,bottom
D37,1N4148W,D_SOD-123,216.0262,-164.6887,90.0,bottom
D38,1N4148W,D_SOD-123,235.0762,-164.6887,90.0,bottom
D39,1N4148W,D_SOD-123,254.1262,-164.6887,90.0,bottom
D40,1N4148W,D_SOD-123,273.1762,-164.6887,90.0,bottom
D41,1N4148W,D_SOD-123,292.2262,-164.6887,90.0,bottom
D42,1N4148W,D_SOD-123,311.2762,-164.6887,90.0,bottom
D43,1N4148W,D_SOD-123,354.1387,-164.6887,90.0,bottom
D44,1N4148W,D_SOD-123,75.5324,-183.7387,90.0,bottom
